Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Unnamed: 8_level_0_Unnamed: 8_level_1,Conf._W,Conf._L,Unnamed: 11_level_0_Unnamed: 11_level_1,Home_W,Home_L,Unnamed: 14_level_0_Unnamed: 14_level_1,Away_W,Away_L,Unnamed: 17_level_0_Unnamed: 17_level_1,Points_Tm.,Points_Opp.,Unnamed: 20_level_0_Unnamed: 20_level_1,School Advanced_Pace,School Advanced_ORtg,School Advanced_FTr,School Advanced_3PAr,School Advanced_TS%,School Advanced_TRB%,School Advanced_AST%,School Advanced_STL%,School Advanced_BLK%,School Advanced_eFG%,School Advanced_TOV%,School Advanced_ORB%,School Advanced_FT/FGA
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
121,Illinois-Chicago,35,19,16,.543,3.14,0.44,,12,8,,9,5,,7,9,,2640,2470,,67.3,110.5,.361,.324,.546,52.7,54.6,11.5,11.8,.508,14.8,36.8,.263
122,Incarnate Word,31,12,19,.387,-7.31,-2.74,,7,15,,9,6,,2,12,,2302,2285,,66.3,112.0,.330,.392,.552,51.3,45.0,8.1,7.0,.521,14.2,34.1,.237
123,Indiana,32,18,14,.563,16.40,10.40,,9,11,,14,4,,3,8,,2501,2309,,66.6,116.0,.350,.505,.598,50.0,62.5,6.9,7.4,.561,13.5,26.9,.273
124,Indiana State,32,11,21,.344,-3.11,0.29,,4,16,,8,7,,3,12,,2354,2383,,68.9,104.7,.282,.449,.557,49.4,64.7,8.8,7.9,.536,17.2,27.4,.190
125,Iona,32,18,14,.563,-7.35,-8.07,,10,10,,11,3,,6,8,,2363,2340,,68.4,105.8,.293,.459,.546,48.8,53.7,9.5,8.1,.519,15.1,27.8,.207
126,Iowa NCAA,37,24,13,.649,19.20,10.93,,10,10,,14,3,,3,8,,2758,2452,,62.8,118.4,.351,.430,.599,50.4,57.7,10.9,6.4,.564,13.3,30.2,.270
127,Iowa State NCAA,37,29,8,.784,26.62,10.27,,12,6,,16,1,,5,5,,3033,2428,,68.5,119.7,.345,.388,.583,53.1,59.0,13.1,8.3,.562,12.7,35.2,.233
128,IU Indy,32,7,25,.219,-12.64,-4.34,,3,17,,5,9,,2,15,,2673,2825,,76.1,109.3,.211,.429,.551,45.9,64.0,11.6,8.4,.529,13.7,29.4,.154
129,Jackson State,33,12,21,.364,-19.78,-6.27,,10,8,,7,3,,4,15,,2318,2764,,71.0,98.1,.374,.433,.508,45.8,45.8,8.8,8.1,.457,16.8,29.7,.284
130,Jacksonville,32,12,20,.375,-11.03,-5.36,,7,11,,8,4,,3,14,,2339,2349,,66.0,109.8,.336,.379,.549,52.4,46.2,10.0,8.4,.517,14.4,33.6,.241
131,Jacksonville State,32,15,17,.469,-3.61,-2.95,,10,10,,10,7,,5,8,,2325,2188,,66.7,108.2,.426,.391,.544,52.4,49.6,9.2,9.6,.509,14.6,31.5,.292
132,James Madison,33,18,15,.545,-5.22,-5.50,,9,9,,11,4,,5,10,,2460,2437,,67.0,110.5,.359,.424,.560,51.5,48.4,7.7,11.6,.529,14.9,30.9,.253
133,Kansas NCAA,35,24,11,.686,20.42,14.36,,12,6,,14,2,,5,6,,2629,2417,,68.3,109.2,.322,.352,.552,51.5,52.3,7.8,15.6,.512,13.6,29.2,.247
134,Kansas City,31,4,27,.129,-20.08,-2.33,,1,15,,3,11,,1,15,,2149,2600,,71.9,96.1,.310,.369,.499,45.5,47.5,8.7,8.1,.468,15.9,27.5,.209
135,Kansas State,32,12,20,.375,8.23,10.51,,3,15,,10,8,,1,10,,2546,2619,,73.8,107.8,.269,.409,.557,47.7,57.7,9.5,9.1,.533,15.3,29.2,.191
136,Kennesaw State NCAA,35,21,14,.600,0.43,-1.35,,10,10,,13,3,,4,8,,2898,2659,,72.3,113.6,.436,.431,.555,53.0,51.2,9.8,14.2,.519,13.7,36.3,.302
137,Kent State,34,24,10,.706,-0.84,-2.47,,14,4,,14,3,,7,6,,2866,2707,,72.7,113.9,.422,.447,.569,53.6,58.0,9.1,9.8,.527,15.0,35.3,.313
138,Kentucky NCAA,36,22,14,.611,19.13,12.96,,10,8,,14,4,,4,6,,2898,2676,,69.7,115.2,.374,.397,.568,52.0,56.9,10.0,12.7,.533,13.2,33.2,.272
139,La Salle,32,9,23,.281,-4.21,3.89,,5,13,,7,6,,1,13,,2148,2370,,66.5,100.9,.369,.315,.503,50.3,55.7,10.2,7.9,.457,15.4,33.8,.267
140,Lafayette,32,11,21,.344,-13.09,-6.83,,8,10,,6,10,,5,11,,2222,2381,,67.2,102.9,.325,.400,.523,48.0,55.4,8.2,6.6,.492,13.5,26.1,.224
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
141,Lamar,31,12,19,.387,-5.96,-3.90,,7,15,,7,8,,5,10,,2167,2143,,66.3,105.0,.278,.345,.516,52.9,56.3,9.7,13.0,.486,15.0,36.0,.195
142,Le Moyne,32,15,17,.469,-11.08,-9.50,,10,8,,9,4,,5,12,,2336,2341,,69.4,105.1,.385,.405,.564,49.8,56.5,8.4,9.1,.529,16.9,25.5,.277
143,Lehigh NCAA,35,18,17,.514,-10.05,-7.48,,11,7,,13,4,,4,11,,2545,2582,,67.0,105.1,.320,.390,.562,47.3,54.9,9.6,8.0,.531,15.9,23.9,.233
144,Liberty,34,26,8,.765,2.54,-1.11,,17,3,,14,2,,11,3,,2641,2397,,64.8,119.0,.309,.483,.623,46.3,61.8,9.7,9.4,.605,12.1,19.7,.220
145,Lindenwood,33,18,15,.545,-9.44,-8.77,,11,9,,9,5,,7,9,,2566,2398,,73.7,105.5,.371,.307,.533,51.6,51.6,12.0,11.0,.501,15.6,33.9,.252
146,Lipscomb,32,19,13,.594,-4.52,-5.12,,12,6,,13,1,,6,11,,2549,2423,,70.9,111.9,.257,.482,.576,49.0,63.2,9.8,7.7,.549,14.0,27.0,.194
147,Little Rock,32,12,20,.375,-13.30,-8.03,,9,11,,7,6,,5,13,,2257,2372,,68.5,103.0,.283,.309,.526,48.1,53.1,11.5,12.6,.501,16.0,32.2,.191
148,Long Beach State,32,10,22,.313,-5.83,-0.07,,6,14,,7,9,,3,13,,2396,2489,,71.3,103.8,.302,.342,.545,49.3,47.6,9.7,8.0,.514,15.7,27.0,.220
149,Long Island University NCAA,35,24,11,.686,-5.16,-7.08,,15,3,,14,1,,10,9,,2577,2510,,68.2,107.6,.340,.293,.552,50.8,50.2,11.4,13.8,.528,16.3,33.9,.227
150,Longwood,32,16,16,.500,-8.35,-8.01,,8,8,,11,4,,4,10,,2486,2370,,70.0,108.1,.408,.335,.556,53.9,47.0,12.1,7.3,.512,16.6,35.3,.302
151,Louisiana,33,11,22,.333,-12.28,-5.28,,7,11,,7,8,,3,13,,2101,2332,,64.1,99.3,.287,.405,.504,46.7,45.9,9.0,10.8,.471,14.5,28.3,.202
152,Louisiana State,32,15,17,.469,12.27,9.33,,3,15,,9,8,,3,7,,2606,2512,,68.6,115.5,.409,.345,.573,51.6,52.5,8.5,10.3,.528,13.4,33.1,.313
153,Louisiana Tech,34,20,14,.588,-3.06,-3.13,,11,9,,14,3,,4,10,,2375,2210,,65.1,106.1,.328,.335,.520,53.8,49.3,11.2,16.2,.491,15.4,37.3,.219
154,Louisiana-Monroe,32,4,28,.125,-18.77,-5.11,,1,17,,3,11,,1,15,,2318,2685,,71.1,101.1,.394,.415,.525,44.8,50.8,8.5,9.0,.479,15.0,25.3,.288
155,Louisville NCAA,35,24,11,.686,22.44,10.70,,11,7,,15,2,,4,7,,2949,2538,,71.0,118.7,.331,.529,.598,53.4,59.6,9.5,9.1,.565,14.5,32.8,.252
156,Loyola (IL),33,9,24,.273,-6.26,2.71,,4,14,,6,10,,1,9,,2204,2500,,65.9,101.0,.348,.477,.528,50.4,60.8,6.1,11.6,.498,17.1,30.5,.234
157,Loyola (MD),32,12,20,.375,-13.63,-8.80,,8,10,,8,6,,3,13,,2407,2466,,68.5,108.1,.303,.470,.541,49.9,50.1,8.9,9.9,.512,13.6,29.3,.213
158,Loyola Marymount,32,15,17,.469,0.76,1.18,,6,12,,10,8,,4,7,,2376,2306,,68.6,107.0,.313,.400,.556,48.8,49.4,8.8,10.9,.528,15.2,27.1,.220
159,Maine,32,8,24,.250,-17.11,-9.78,,6,10,,4,8,,4,14,,2001,2190,,65.4,95.6,.376,.374,.531,43.2,55.2,11.9,9.1,.505,17.4,19.7,.241
160,Manhattan,32,12,20,.375,-15.19,-8.00,,8,12,,7,7,,3,12,,2369,2526,,68.3,107.1,.343,.373,.535,46.4,50.7,11.3,6.0,.486,13.4,29.5,.273
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
161,Marist,31,19,12,.613,-3.72,-8.69,,12,8,,11,4,,7,7,,2160,1979,,66.5,104.3,.253,.347,.533,51.2,59.3,10.5,9.0,.498,14.6,29.4,.198
162,Marquette,32,12,20,.375,9.05,9.67,,7,13,,10,7,,2,10,,2405,2425,,70.1,106.0,.328,.422,.533,47.0,58.1,13.2,8.4,.505,13.9,29.7,.221
163,Marshall,32,19,13,.594,-3.07,-4.65,,11,7,,13,4,,6,8,,2596,2497,,70.7,114.7,.291,.444,.577,50.3,57.4,8.7,13.4,.551,14.2,32.4,.213
164,Maryland,33,12,21,.364,4.56,11.44,,4,16,,7,8,,2,10,,2300,2527,,66.7,104.1,.364,.469,.522,51.5,45.2,7.1,9.1,.481,15.7,33.8,.263
165,Maryland-Baltimore County NCAA,33,24,9,.727,-4.68,-11.81,,14,2,,15,2,,9,6,,2522,2230,,67.0,113.2,.332,.392,.578,51.6,44.9,7.5,6.8,.544,12.7,25.4,.252
166,Maryland-Eastern Shore,32,9,23,.281,-17.68,-8.54,,5,9,,6,4,,2,18,,2060,2265,,64.9,97.3,.290,.333,.526,50.3,56.3,8.6,8.1,.494,20.5,32.9,.208
167,Massachusetts,33,17,16,.515,-2.40,-3.50,,7,11,,11,5,,2,8,,2648,2562,,71.1,110.3,.366,.353,.557,53.9,59.1,9.2,6.7,.530,15.3,34.1,.246
168,Massachusetts-Lowell,33,15,18,.455,-14.32,-8.62,,9,7,,10,4,,5,14,,2471,2518,,69.4,107.9,.363,.309,.539,53.2,45.7,7.6,7.8,.510,14.9,34.8,.242
169,McNeese NCAA,34,28,6,.824,7.65,-1.54,,19,3,,14,0,,9,5,,2709,2271,,67.2,117.3,.372,.348,.560,51.0,50.2,15.5,15.8,.520,11.8,36.4,.279
170,Memphis,32,13,19,.406,3.82,5.29,,8,10,,10,6,,3,10,,2407,2454,,71.4,104.6,.347,.337,.526,49.8,49.8,11.7,12.7,.487,16.0,35.3,.250
171,Mercer,32,19,13,.594,-3.04,-5.39,,11,7,,14,1,,5,11,,2646,2416,,70.9,116.6,.375,.406,.568,50.8,48.1,11.1,9.5,.533,12.5,33.7,.271
172,Mercyhurst,34,17,17,.500,-10.04,-9.63,,10,8,,12,3,,5,14,,2358,2291,,65.0,105.2,.249,.315,.531,48.6,55.5,11.0,10.9,.504,12.7,26.7,.180
173,Merrimack,34,23,11,.676,-4.35,-6.41,,17,3,,11,0,,9,8,,2330,2260,,63.7,106.4,.382,.461,.543,42.9,56.0,12.7,13.9,.491,13.2,24.8,.301
174,Miami (FL) NCAA,35,26,9,.743,17.69,7.44,,13,5,,15,3,,8,2,,2853,2494,,69.2,117.9,.371,.319,.578,55.8,54.4,11.4,9.8,.553,13.7,37.2,.254
175,Miami (OH) NCAA,34,32,2,.941,5.62,-4.16,,18,0,,16,0,,14,0,,3047,2566,,71.7,123.1,.391,.455,.634,51.0,51.9,10.1,8.4,.606,12.7,26.5,.292
176,Michigan NCAA,40,37,3,.925,32.92,15.10,,19,1,,14,1,,11,0,,3493,2780,,71.4,121.9,.380,.414,.614,55.7,61.0,7.8,16.4,.583,14.1,34.7,.284
177,Michigan State NCAA,35,27,8,.771,23.31,12.86,,15,5,,15,2,,6,4,,2758,2392,,66.8,117.0,.359,.364,.577,58.4,67.6,7.6,13.5,.538,14.5,37.8,.274
178,Middle Tennessee,32,17,15,.531,0.06,1.20,,11,9,,11,4,,5,8,,2414,2329,,67.3,109.6,.320,.459,.551,51.5,54.0,8.9,11.3,.523,14.4,31.4,.225
179,Milwaukee,32,12,20,.375,-7.74,-2.48,,8,12,,8,6,,3,14,,2440,2548,,69.5,109.7,.322,.375,.534,51.3,48.4,9.7,8.5,.505,12.7,33.6,.222
180,Minnesota,33,15,18,.455,9.72,8.84,,8,12,,13,4,,2,9,,2289,2260,,62.9,109.1,.358,.471,.566,48.8,71.0,10.0,8.2,.539,14.7,26.8,.248
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
181,Mississippi,35,15,20,.429,10.81,11.04,,4,14,,7,9,,3,7,,2656,2664,,68.3,109.2,.330,.355,.543,48.0,50.2,10.2,12.9,.504,12.2,28.3,.247
182,Mississippi State,32,13,19,.406,6.94,11.13,,5,13,,8,8,,4,6,,2484,2618,,71.5,107.4,.307,.401,.538,49.8,45.1,8.0,11.1,.515,13.9,29.8,.202
183,Mississippi Valley State,33,3,30,.091,-28.67,-8.20,,2,16,,2,9,,1,18,,2120,2739,,70.0,91.1,.337,.308,.498,45.3,53.4,10.3,8.0,.457,19.2,26.6,.241
184,Missouri NCAA,33,20,13,.606,12.46,8.70,,10,8,,15,3,,5,7,,2615,2491,,68.3,115.1,.421,.364,.580,52.2,51.2,9.6,10.6,.550,15.2,34.9,.291
185,Missouri State,34,16,18,.471,-2.81,-1.55,,8,12,,11,7,,3,10,,2551,2502,,66.9,110.5,.421,.409,.550,50.6,56.6,10.0,8.4,.517,14.0,33.2,.285
186,Monmouth,34,19,15,.559,-2.41,-3.44,,11,7,,10,4,,6,9,,2471,2409,,67.5,106.4,.327,.343,.537,49.7,53.8,11.4,12.2,.498,14.4,31.6,.244
187,Montana,34,18,16,.529,-2.76,-0.89,,10,8,,11,6,,5,9,,2627,2535,,71.2,108.6,.372,.418,.601,50.4,55.4,7.9,6.3,.564,17.5,22.0,.286
188,Montana State,32,18,14,.563,0.69,-1.44,,12,6,,11,2,,6,11,,2493,2285,,67.6,114.4,.300,.454,.580,50.3,41.7,10.0,7.4,.551,13.0,28.2,.223
189,Morehead State,33,20,13,.606,-11.52,-7.95,,15,5,,11,2,,7,10,,2484,2466,,67.4,110.8,.373,.306,.552,51.6,50.2,9.6,8.4,.513,14.7,36.4,.273
190,Morgan State,30,14,16,.467,-19.41,-11.08,,10,4,,9,6,,5,9,,2258,2347,,71.3,105.1,.418,.357,.532,48.7,52.7,6.9,9.1,.483,15.1,31.3,.310
191,Mount St. Mary's,32,15,17,.469,-10.40,-7.27,,11,9,,8,5,,7,11,,2178,2244,,67.7,100.2,.325,.431,.534,52.6,56.4,9.0,9.5,.508,19.3,32.6,.218
192,Murray State,33,20,13,.606,3.25,0.37,,12,8,,12,3,,5,7,,2742,2647,,72.3,115.0,.386,.448,.578,50.8,49.1,8.1,8.9,.538,14.1,32.6,.291
193,Navy,34,26,8,.765,-1.10,-9.54,,17,1,,15,2,,10,5,,2537,2187,,65.2,113.2,.395,.335,.572,54.2,62.0,11.5,10.5,.535,14.7,33.1,.290
194,NC State NCAA,34,20,14,.588,17.43,10.52,,10,8,,11,6,,6,4,,2828,2593,,69.5,118.4,.351,.434,.587,49.1,54.6,11.5,10.7,.550,11.5,28.2,.269
195,Nebraska NCAA,35,28,7,.800,21.36,10.53,,15,5,,16,2,,7,3,,2694,2315,,66.8,114.4,.262,.511,.582,50.5,65.9,10.6,8.7,.555,12.8,26.7,.198
196,Nevada,37,24,13,.649,10.34,5.85,,12,8,,17,2,,4,9,,2813,2647,,66.8,112.4,.448,.323,.552,52.4,57.6,9.7,11.8,.500,12.7,32.2,.339
197,Nevada-Las Vegas,35,18,17,.514,5.42,6.10,,11,9,,10,6,,7,7,,2761,2742,,70.6,110.5,.399,.363,.563,49.6,51.3,10.6,13.3,.534,14.8,30.9,.271
198,New Hampshire,30,9,21,.300,-17.20,-7.48,,5,11,,8,5,,1,16,,2076,2238,,67.7,99.7,.287,.434,.503,48.9,45.1,8.9,6.1,.476,14.0,27.0,.189
199,New Haven,31,14,17,.452,-13.86,-7.89,,9,9,,9,6,,5,11,,2013,2055,,64.2,101.1,.307,.403,.532,48.7,51.5,10.2,6.8,.504,15.4,24.0,.212
200,New Mexico,37,26,11,.703,14.27,5.10,,13,7,,17,3,,7,5,,3004,2624,,70.7,114.8,.359,.429,.570,51.8,53.8,11.3,9.5,.536,12.8,30.8,.262
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
201,New Mexico State,32,16,16,.500,-1.38,-1.45,,8,12,,10,5,,3,8,,2403,2303,,68.1,109.0,.352,.381,.530,51.5,49.8,9.3,9.5,.490,12.9,33.2,.256
202,New Orleans,33,15,18,.455,-4.21,-1.06,,12,10,,5,6,,9,11,,2459,2563,,69.7,106.2,.464,.337,.548,51.6,52.5,8.2,10.2,.496,17.4,35.6,.345
203,Niagara,30,8,22,.267,-16.33,-7.92,,5,15,,6,7,,2,14,,1916,2137,,63.1,100.8,.261,.402,.536,46.5,59.9,8.9,9.0,.508,16.7,25.4,.189
204,Nicholls State,33,14,19,.424,-7.07,-2.35,,12,10,,6,6,,7,12,,2388,2471,,68.7,105.3,.343,.442,.537,46.5,52.2,13.1,8.0,.510,15.0,29.1,.229
205,NJIT,33,16,17,.485,-15.99,-8.49,,10,6,,8,6,,8,11,,2212,2417,,68.3,98.1,.331,.407,.505,47.6,46.2,9.8,9.3,.467,14.8,27.1,.234
206,Norfolk State,32,15,17,.469,-13.73,-10.70,,8,6,,9,4,,5,10,,2445,2362,,70.1,108.9,.424,.302,.551,51.4,44.6,10.1,9.3,.515,15.1,33.8,.294
207,North Alabama,30,9,21,.300,-15.97,-5.82,,4,14,,5,8,,4,12,,2082,2328,,65.9,104.4,.378,.338,.523,49.5,41.1,9.8,11.4,.487,14.7,31.5,.260
208,North Carolina NCAA,33,24,9,.727,18.55,10.46,,12,6,,18,0,,4,6,,2631,2364,,68.8,115.5,.371,.422,.569,52.7,57.2,7.9,8.5,.543,12.1,31.2,.253
209,North Carolina A&T,30,11,19,.367,-9.81,-5.20,,4,14,,6,6,,4,11,,2252,2335,,69.6,107.4,.451,.325,.555,52.8,46.5,7.6,10.5,.512,15.9,31.9,.323
210,North Carolina Central,32,14,18,.438,-18.33,-8.69,,8,6,,8,5,,4,12,,2299,2415,,68.2,104.9,.388,.337,.537,46.1,54.8,12.8,10.5,.495,15.4,31.2,.283
211,North Dakota,35,18,17,.514,-9.33,-3.92,,10,6,,9,7,,7,8,,2680,2705,,69.6,109.2,.365,.403,.539,47.8,43.0,12.1,8.2,.504,12.1,29.1,.257
212,North Dakota State NCAA,35,27,8,.771,1.98,-5.27,,14,2,,13,1,,10,5,,2812,2458,,68.7,115.4,.308,.419,.571,53.2,53.9,11.9,8.8,.543,13.3,32.7,.223
213,North Florida,32,7,25,.219,-15.72,-3.29,,5,13,,5,8,,2,14,,2547,2821,,72.5,109.4,.288,.511,.570,45.2,50.6,7.0,3.4,.536,15.2,26.8,.223
214,North Texas,33,19,14,.576,1.98,1.04,,9,9,,12,5,,5,7,,2341,2225,,66.5,104.2,.399,.325,.515,50.0,51.1,13.7,13.5,.474,14.2,33.4,.277
215,Northeastern,31,7,24,.226,-9.18,-3.12,,2,16,,2,10,,3,13,,2322,2510,,69.6,107.1,.294,.378,.549,47.5,55.7,10.0,8.1,.524,14.4,27.3,.203
216,Northern Arizona,32,10,22,.313,-11.12,-1.60,,4,14,,9,7,,1,13,,2282,2445,,66.6,107.1,.330,.368,.558,45.8,51.8,10.3,7.9,.533,14.1,24.2,.224
217,Northern Colorado,32,20,12,.625,-0.13,-2.89,,10,8,,11,3,,8,7,,2640,2449,,70.0,116.0,.267,.429,.594,53.4,54.8,6.1,6.8,.568,13.5,28.6,.203
218,Northern Illinois,30,9,21,.300,-15.10,-2.57,,4,14,,6,7,,3,14,,2086,2334,,69.7,99.7,.381,.450,.519,50.6,52.8,8.7,5.3,.486,18.2,32.4,.253
219,Northern Iowa NCAA,36,23,13,.639,7.84,1.78,,11,9,,12,5,,6,6,,2500,2223,,63.6,108.4,.254,.395,.564,48.9,56.9,10.1,9.8,.544,13.1,21.9,.176
220,Northern Kentucky,34,20,14,.588,-2.63,-4.85,,10,10,,12,5,,7,8,,2827,2634,,71.8,114.9,.362,.446,.574,50.4,54.6,11.9,9.7,.544,14.0,33.1,.258
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
221,Northwestern,34,15,19,.441,12.30,11.13,,5,15,,9,7,,3,8,,2487,2447,,65.3,111.6,.339,.340,.555,46.8,65.8,8.8,10.6,.517,11.5,28.1,.255
222,Northwestern State,32,10,22,.313,-9.55,-2.72,,8,14,,8,6,,2,15,,2185,2317,,65.7,103.5,.403,.338,.540,47.8,51.4,9.8,6.9,.494,15.6,27.2,.299
223,Notre Dame,31,13,18,.419,8.50,9.37,,4,14,,10,7,,2,9,,2308,2335,,66.7,109.9,.341,.435,.552,52.1,47.4,6.6,7.3,.523,14.6,31.2,.237
224,Oakland,32,16,16,.500,-1.54,-0.32,,12,8,,7,6,,8,9,,2642,2614,,71.4,115.7,.380,.339,.572,49.0,54.4,10.7,9.6,.533,12.7,31.6,.285
225,Ohio,32,15,17,.469,-4.96,-1.66,,9,9,,10,6,,4,8,,2492,2515,,70.4,109.7,.370,.380,.553,48.2,48.9,8.6,9.1,.520,13.4,28.7,.261
226,Ohio State NCAA,34,21,13,.618,18.66,11.92,,12,8,,14,3,,5,6,,2697,2468,,66.4,118.1,.372,.401,.601,51.4,52.6,7.2,7.0,.562,13.5,30.4,.289
227,Oklahoma,37,21,16,.568,14.73,9.27,,7,11,,11,5,,4,7,,3067,2865,,68.5,119.5,.355,.436,.584,50.4,50.9,9.2,10.7,.549,12.3,32.8,.268
228,Oklahoma State,35,20,15,.571,10.66,10.01,,6,12,,15,6,,2,7,,2935,2912,,74.0,112.1,.394,.355,.562,50.6,50.4,9.4,7.2,.520,13.6,30.8,.294
229,Old Dominion,33,12,21,.364,-7.44,-4.44,,7,11,,7,6,,4,14,,2514,2570,,70.4,107.4,.347,.362,.545,48.4,49.2,8.1,8.3,.508,13.5,26.5,.255
230,Omaha,33,16,17,.485,-7.67,-3.91,,8,8,,10,4,,5,10,,2507,2522,,68.7,110.2,.331,.416,.569,50.3,48.9,8.3,8.8,.536,14.2,26.9,.244
231,Oral Roberts,33,10,23,.303,-10.50,-2.60,,4,12,,7,8,,1,13,,2420,2558,,69.8,104.3,.366,.461,.544,49.6,48.3,8.5,9.0,.502,16.5,29.6,.272
232,Oregon,32,12,20,.375,8.62,11.72,,5,15,,10,7,,2,8,,2267,2366,,66.5,106.1,.350,.428,.534,49.9,59.0,9.1,11.7,.495,15.1,32.3,.255
233,Oregon State,33,17,16,.515,0.40,3.43,,9,9,,12,5,,4,7,,2347,2447,,66.2,105.8,.431,.443,.557,48.2,61.2,8.2,10.7,.505,15.7,26.8,.333
234,Pacific,33,18,15,.545,3.99,2.47,,8,10,,11,3,,4,11,,2399,2271,,65.9,109.9,.298,.355,.563,56.3,58.0,8.2,7.1,.530,16.8,35.8,.225
235,Penn State,32,12,20,.375,3.73,9.39,,3,17,,9,8,,2,9,,2358,2539,,67.5,109.2,.338,.381,.566,46.7,48.3,10.3,5.2,.530,13.9,25.9,.253
236,Pennsylvania NCAA,30,18,12,.600,-1.04,-1.01,,9,5,,12,2,,4,8,,2277,2231,,69.3,108.6,.353,.352,.540,49.7,52.5,9.4,8.6,.508,13.2,30.9,.245
237,Pepperdine,32,9,23,.281,-6.26,3.05,,4,14,,7,10,,2,11,,2312,2546,,69.5,103.2,.331,.385,.529,48.6,56.0,8.6,7.7,.488,15.8,31.3,.248
238,Pittsburgh,33,13,20,.394,8.06,9.36,,5,13,,8,10,,3,8,,2327,2370,,64.5,108.4,.304,.426,.535,51.9,52.3,10.1,9.5,.510,14.6,33.9,.205
239,Portland,34,15,19,.441,-2.52,3.51,,6,12,,12,6,,1,12,,2530,2669,,70.5,104.8,.355,.348,.556,49.8,62.1,8.3,9.0,.518,17.0,29.3,.262
240,Portland State,31,20,11,.645,-0.34,-3.05,,13,5,,11,3,,8,7,,2376,2179,,69.6,109.3,.357,.345,.550,53.0,52.8,10.9,11.5,.517,14.3,31.9,.253
,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
241,Prairie View A&M NCAA,37,19,18,.514,-13.16,-9.10,,9,9,,10,3,,3,13,,2883,2831,,73.5,105.7,.420,.305,.541,46.8,44.0,10.7,12.2,.490,14.0,27.6,.318
