Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
1,Michigan,B10,Oct-00,37.4,125.2,4,87.8,1,73.7,12,0.036,118,11.68,9,114.3,6,102.6,13,13.59,6
2,Iowa St.,B12,Nov-00,33.14,123.6,11,90.5,2,70.3,118,0.052,90,1.22,143,108,164,106.8,121,1.22,143
3,Gonzaga,WCC,1-Nov,33.06,124.5,7,91.4,4,72,46,0.084,46,8.11,27,113.3,14,105.1,48,8.11,29
4,Arizona,B12,Oct-00,32.54,124.7,6,92.2,8,72.3,38,0.043,103,5.68,44,111.4,43,105.7,67,5.68,51
5,Duke,ACC,Nov-00,32.51,123.5,12,91,3,69,184,0.092,39,3.24,89,108.2,159,105,43,3.24,97
6,Purdue,B10,1-Nov,31.67,127.8,1,96.1,16,65.7,332,0.061,80,7.64,31,113,22,105.3,53,8.61,27
7,Connecticut,BE,1-Nov,29.47,121.1,22,91.6,5,66.2,317,0.066,71,8.14,26,111.8,36,103.7,23,7.79,31
8,Houston,B12,1-Nov,28.43,121,23,92.6,9,64.7,353,0.046,98,1.12,147,108.5,136,107.4,150,1.12,147
9,BYU,B12,1-Nov,28.14,124.1,8,96,15,70.8,88,0.026,138,5.43,48,110.1,78,104.7,35,5.43,57
10,Vanderbilt,SEC,Nov-00,27.45,123.6,10,96.2,17,72,44,0.047,97,2.25,114,108.5,131,106.3,97,2.25,115
11,Illinois,B10,3-Aug,26.53,125.6,3,99.1,35,68.7,198,-0.046,272,8.59,22,113,21,104.4,31,4.59,66
12,Michigan St.,B10,1-Nov,26.49,118.1,46,91.6,6,66.8,290,0.006,175,6.61,36,112.5,26,105.9,71,4.43,69
13,Florida,SEC,4-Jul,26.17,119.8,30,93.7,11,71.6,56,-0.121,350,10.13,14,113.3,13,103.2,18,10.13,19
14,Louisville,ACC,2-Oct,26.06,125,5,99,34,72.1,42,0.01,163,1.58,132,106.8,237,105.2,51,1.58,131
15,Tennessee,SEC,3-Aug,25.21,119.3,34,94.1,12,67.8,246,-0.082,326,5.25,51,110.8,50,105.6,63,5.25,60
16,Kansas,B12,3-Sep,24.72,116.7,57,92,7,67.7,252,0.008,169,12.31,6,113.7,7,101.4,4,12.31,9
17,Alabama,SEC,3-Aug,24.63,126.4,2,101.8,70,74.8,8,0.013,160,14.69,1,115.7,3,101.1,2,14.69,3
18,Kentucky,SEC,4-Aug,23.89,119.4,33,95.5,14,69.5,158,-0.064,305,3.81,72,109,115,105.2,50,3.81,81
19,Iowa,B10,2-Oct,23.62,120,26,96.4,19,64.4,357,-0.001,194,-1.56,226,106.4,256,107.9,188,-5.09,312
20,St. John's,BE,4-Jul,22.52,118.9,40,96.4,20,71.6,55,-0.099,339,9.04,20,113.2,16,104.1,26,10.26,18
21,Nebraska,B10,Nov-00,22,119.8,31,97.8,28,69.8,140,0.09,43,3.53,79,110.9,48,107.4,154,-0.55,191
22,North Carolina,ACC,1-Nov,21.71,118.7,42,97,24,68,233,0.093,37,1.93,122,107.9,173,105.9,75,1.93,119
23,Georgia,SEC,1-Oct,21.53,121.1,21,99.6,40,75.4,5,0.004,182,-5.72,330,103.3,347,109,258,-5.72,326
24,Virginia,ACC,1-Oct,20.94,122.9,14,101.9,72,68,236,-0.01,212,-2.59,260,106.5,250,109.1,259,-2.59,259
25,Arkansas,SEC,3-Sep,20.87,121.2,19,100.4,47,72.4,33,-0.014,219,4.38,60,110.9,49,106.5,108,4.38,70
26,Texas Tech,B12,3-Aug,20.67,122.1,15,101.4,64,67.7,250,0.043,102,6.82,35,113.1,19,106.3,92,6.82,38
27,N.C. State,ACC,4-Aug,20.61,121.4,17,100.8,54,71,78,-0.108,344,4.37,61,109.9,85,105.6,62,4.37,71
28,Indiana,B10,3-Sep,20.61,116.9,52,96.3,18,69.6,153,-0.06,297,-0.5,191,108.5,133,109,256,-2.39,257
29,Utah St.,MWC,1-Oct,20.54,119.3,35,98.8,32,69.9,136,0.08,50,2.15,117,110,80,107.9,185,1.7,127
30,Villanova,BE,2-Sep,20.47,119.8,29,99.4,36,64.5,355,0.025,140,1.45,138,110.4,65,109,253,1.45,137
31,Baylor,B12,2-Aug,19.72,123.8,9,104,94,71.1,71,0.037,116,2.3,111,107.8,183,105.5,60,2.3,112
32,UCLA,B10,3-Sep,19.72,120.4,24,100.7,50,66.2,320,-0.017,222,0.99,151,108.3,152,107.3,144,-2.36,256
33,Clemson,ACC,3-Sep,19.36,118.2,45,98.8,33,65.8,330,-0.036,253,0.41,168,107.8,175,107.4,158,0.41,167
34,Saint Mary's,WCC,2-Oct,19.27,115.8,65,96.5,21,68,231,0.037,117,4,68,110.2,76,106.2,88,4,79
35,Saint Louis,A10,1-Oct,18.7,116.8,56,98.1,29,73.5,14,0.004,181,-4.31,302,105.3,300,109.6,284,-4.31,302
36,Miami FL,ACC,2-Oct,18.57,116.8,55,98.2,30,71.3,62,-0.012,217,-5.04,314,105.5,295,110.5,326,-5.04,311
37,LSU,SEC,1-Oct,18.52,119.4,32,100.9,55,69.3,170,0.064,75,-2.3,254,106.5,246,108.8,244,-2.3,254
38,USC,B10,1-Nov,18.46,119,38,100.5,49,71.7,54,0.079,53,2.48,105,108.9,120,106.5,106,-0.09,174
39,Auburn,SEC,4-Aug,18.25,121.6,16,103.4,85,69.2,178,0.068,69,10.5,13,113.4,12,102.9,16,10.5,17
40,Ohio St.,B10,3-Aug,18.01,118.9,39,100.9,56,69.8,144,-0.034,247,1.74,128,109.6,98,107.9,182,-3.35,279
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
41,VCU,A10,4-Aug,17.07,116.4,59,99.4,37,70.7,93,-0.129,356,-0.68,195,107.8,180,108.5,215,-0.68,194
42,SMU,ACC,2-Sep,16.91,118.7,43,101.8,68,70.5,103,0.098,32,3.79,73,110.3,69,106.6,112,3.79,82
43,Seton Hall,BE,1-Nov,16.84,111.2,116,94.4,13,66.9,286,-0.023,230,-2.4,256,107.2,213,109.6,282,-4.49,304
44,Wisconsin,B10,4-Jul,16.77,117.5,48,100.7,52,71,74,0.005,177,4.93,54,110.4,68,105.5,58,1.32,140
45,Texas,SEC,4-Aug,16.71,119.3,36,102.6,76,69.2,179,-0.087,329,-2.18,247,107,225,109.2,264,-2.18,247
46,Boise St.,MWC,3-Aug,16.63,113.4,88,96.8,23,68,237,0.039,110,7.79,30,111.8,38,104,24,7.79,32
47,San Diego St.,MWC,3-Jun,16.2,117,51,100.8,53,69.4,166,0.019,147,1.29,141,108.1,161,106.8,122,4.11,76
48,UCF,B12,1-Oct,16.19,120.2,25,104.1,95,70,132,0.048,95,-1.75,235,107.8,178,109.6,281,-1.75,233
49,Creighton,BE,5-Jun,15.79,116.8,53,101.1,58,66.6,298,-0.047,276,7.99,28,112.4,28,104.4,32,7.34,34
50,Missouri,SEC,2-Oct,15.4,119.9,28,104.5,103,68.9,187,-0.002,200,-9.7,361,103,354,112.7,363,-9.7,361
51,Oklahoma,SEC,3-Aug,15.37,119.9,27,104.6,104,68,235,-0.008,208,0.9,154,108.1,160,107.2,142,0.9,150
52,Washington,B10,4-Jul,15.34,115.3,68,100,43,69.1,181,-0.074,318,3.94,70,111.7,39,107.7,174,-0.3,183
53,Texas A&M,SEC,3-Aug,15.11,116.7,58,101.6,66,72.3,37,-0.022,226,-4.5,307,106.9,236,111.4,350,-4.5,306
54,Butler,BE,3-Sep,14.98,116.3,62,101.3,61,70.6,95,0.022,144,3.61,78,110.1,79,106.5,109,-0.06,173
55,Wake Forest,ACC,3-Sep,14.95,114.6,73,99.7,42,71.2,70,-0.004,204,-1.33,222,107.6,195,108.9,251,-1.33,219
56,Notre Dame,ACC,3-Sep,14.32,115.4,67,101.1,59,66.4,311,-0.001,195,1.42,139,108.4,138,107,128,1.42,139
57,Northwestern,B10,5-Jul,13.87,116.4,60,102.5,75,68,234,-0.127,353,2.62,101,109.8,89,107.2,140,-1.4,221
58,Oklahoma St.,B12,1-Oct,13.81,116.8,54,103,81,74.8,7,0.028,135,-0.97,203,106.9,227,107.9,187,-0.97,203
59,Mississippi,SEC,4-Jul,13.73,114.7,72,101,57,66.6,302,-0.09,333,-1.15,209,106.1,268,107.3,145,-1.15,210
60,Akron,MAC,3-Sep,13.68,123,13,109.3,205,73,23,-0.053,287,-2.84,265,107.9,169,110.7,336,-2.02,244
61,TCU,B12,3-Aug,13.3,110.4,124,97.1,25,68.5,208,-0.061,301,-1.98,243,105.9,280,107.9,186,-1.98,242
62,Kansas St.,B12,4-Aug,13.08,117.8,47,104.7,107,73.3,17,-0.016,220,3.71,75,110,83,106.3,93,3.71,85
63,Colorado,B12,1-Oct,12.76,119,37,106.3,134,70.1,127,0.015,155,-1.69,232,107.8,181,109.5,275,-1.69,230
64,Arizona St.,B12,3-Sep,12.52,116.2,64,103.7,90,70.3,116,0.091,40,5.92,42,110.7,53,104.8,40,5.92,48
65,Belmont,MVC,1-Dec,12.43,115.2,69,102.8,78,71.6,57,0.033,124,-4.47,306,104.3,332,108.7,235,-4.05,295
66,Dayton,A10,4-Sep,12.43,111.8,107,99.4,38,69.6,154,-0.033,245,-0.79,199,107.5,197,108.3,208,-0.79,198
67,McNeese,Slnd,2-Oct,12.25,113.6,84,101.3,62,68.3,219,0.02,146,-0.11,177,108.6,129,108.7,232,5.69,50
68,Virginia Tech,ACC,2-Nov,12.24,115.1,70,102.9,79,69.5,160,0.104,27,-0.29,183,108.2,157,108.5,216,-0.29,182
69,George Mason,A10,1-Oct,12.21,112.5,99,100.2,44,66.6,303,0.003,185,-5.9,332,106.6,244,112.5,361,-5.9,329
70,California,ACC,1-Nov,12.09,114.2,79,102.1,73,68.8,191,0.036,119,-7.45,347,104.6,323,112.1,360,-7.45,347
71,West Virginia,B12,4-Aug,11.87,111.4,113,99.5,39,64.8,352,-0.132,358,-7.3,345,103.7,339,111,344,-7.3,343
72,Tulsa,Amer,1-Nov,11.73,118.8,41,107.1,153,68.7,199,0.05,92,-0.9,201,106.2,267,107.1,130,-0.9,199
73,Providence,BE,6-Jul,11.48,118.6,44,107.1,151,73.1,22,-0.114,348,3.02,95,109.2,112,106.2,83,-0.42,186
74,Memphis,Amer,7-Apr,11.41,109.8,133,98.4,31,70.2,122,-0.076,322,12.6,4,115.8,2,103.2,19,12.6,8
75,Yale,Ivy,1-Nov,11.3,121.4,18,110.1,223,66.7,292,0.09,42,-1.55,225,107.8,177,109.4,271,-1.55,225
76,New Mexico,MWC,2-Sep,11.11,112.2,102,101.1,60,70.3,113,0.04,109,0.89,156,108.3,147,107.4,155,0.89,151
77,Cincinnati,B12,4-Jul,11.11,104.4,229,93.3,10,71.3,61,-0.067,310,-4.92,311,104.5,328,109.4,273,-4.92,309
78,Oregon,B10,5-Jun,11,114,81,103,80,69.5,162,-0.033,244,4.36,62,110.3,72,105.9,72,0.82,153
79,Colorado St.,MWC,3-Sep,10.99,121.2,20,110.2,224,63.6,363,0.08,51,-0.67,194,110,82,110.6,329,-2.92,267
80,Utah Valley,WAC,3-Oct,10.71,111.1,119,100.4,46,70.6,100,0.019,148,2.45,106,108.2,158,105.7,70,2.45,108
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
81,George Washington,A10,4-Aug,10.61,117.4,49,106.8,144,71.5,58,-0.077,323,-2.54,259,106.1,269,108.6,226,-2.54,258
82,Santa Clara,WCC,4-Sep,10.54,114.9,71,104.4,102,70.3,117,-0.011,215,2.78,99,108.4,142,105.6,64,2.78,103
83,Syracuse,ACC,4-Aug,10.36,112.2,105,101.8,69,68.8,190,0.009,166,-2.26,250,104.9,313,107.1,137,-2.26,251
84,South Florida,Amer,5-Jun,9.8,113.5,87,103.7,89,73.2,18,-0.087,330,6.21,38,112.7,24,106.5,110,6.21,42
85,Grand Canyon,MWC,4-Jul,9.64,109.3,137,99.6,41,68.8,193,-0.05,283,-1.3,219,107.7,190,109,255,-3.13,272
86,Stanford,ACC,2-Sep,9.53,113.2,90,103.6,88,70.8,85,0.009,167,-3.04,273,104.8,315,107.9,183,-3.04,270
87,Mississippi St.,SEC,5-Jul,9.42,112.6,97,103.2,83,70,131,0.037,115,4.05,67,109.7,93,105.7,66,4.05,77
88,South Carolina,SEC,4-Jul,9.29,111.5,110,102.2,74,67.5,256,-0.128,355,-5.72,329,105.1,311,110.8,337,-5.72,325
89,UC San Diego,BW,2-Oct,9.21,114.3,78,105.1,113,70.2,121,-0.04,256,-0.47,190,108.5,134,109,252,-0.16,177
90,Northern Iowa,MVC,2-Sep,8.49,105.1,219,96.6,22,64.3,358,-0.024,233,-3.14,276,107.2,214,110.3,317,-3.78,289
91,Nevada,MWC,3-Aug,8.49,113.7,83,105.2,117,67.2,276,0.084,47,2.07,119,109,116,106.9,127,2.07,117
92,Murray St.,MVC,3-Sep,8.46,116.3,63,107.8,166,72.7,28,-0.005,205,-3.4,283,107.3,209,110.7,331,-3.55,283
93,Illinois St.,MVC,3-Sep,8.44,112.5,98,104.1,97,67.9,238,0.035,120,-0.81,200,108.4,139,109.3,266,-2,243
94,Georgetown,BE,3-Aug,8.09,112.9,93,104.8,109,68.3,218,0.082,48,0.22,172,107.7,188,107.5,163,-1.69,229
95,Wyoming,MWC,3-Sep,7.77,112.4,100,104.7,105,69.9,133,-0.042,260,-4.97,312,105.7,285,110.7,332,-6.08,330
96,San Francisco,WCC,5-Jul,7.74,113,92,105.3,119,66.2,319,-0.043,263,3.21,90,109.7,95,106.5,105,3.21,98
97,Wichita St.,Amer,5-Jul,7.67,111.8,108,104.1,99,66.3,316,-0.161,361,-0.65,193,107.4,202,108,193,-0.65,193
98,Richmond,A10,2-Oct,7.66,110.8,120,103.2,82,70.2,124,-0.008,210,-6.83,342,105.2,306,112,359,-6.83,341
99,Maryland,B10,6-Jun,7.49,111.5,109,104.1,96,69.4,164,0.065,73,8.18,25,112.5,27,104.3,30,1.79,125
100,High Point,BSth,3-Oct,7.1,117.3,50,110.2,225,71.3,64,-0.045,271,-8.32,356,102.5,357,110.8,339,-8.32,355
101,Rhode Island,A10,4-Aug,6.99,108.8,144,101.8,71,67.8,245,-0.022,228,-3.27,281,107.1,218,110.4,318,-3.27,278
102,Liberty,CUSA,3-Aug,6.94,113.5,85,106.6,141,65.5,340,0.056,85,1.71,129,109.5,101,107.8,178,1.71,126
103,Hawaii,BW,2-Oct,6.78,104.6,226,97.8,27,70.4,108,-0.028,236,-11.08,364,101.5,363,112.5,362,-11.83,364
104,Bowling Green,MAC,3-Sep,6.75,107.3,176,100.5,48,69.3,173,-0.077,324,-4.73,310,105.8,282,110.6,327,-5.6,324
105,Penn St.,B10,3-Aug,6.71,115.7,66,109,200,68.9,188,0.099,30,-4.16,300,105.7,287,109.8,295,-8.76,358
106,Xavier,BE,4-Aug,6.6,110.5,122,103.9,91,71,79,0.109,22,-0.05,176,106.5,248,106.6,113,-1.43,222
107,Seattle,WCC,2-Oct,6.37,107.7,164,101.4,63,69.4,167,-0.01,213,-3.44,284,107,226,110.5,321,-3.44,281
108,Minnesota,B10,5-Jun,6.29,110.4,125,104.1,98,65.2,345,-0.031,241,-1.16,210,108.2,154,109.4,274,-7.39,345
109,Marquette,BE,7-May,6.11,110.1,129,104,93,70.6,96,-0.11,347,2.08,118,109.1,113,107.1,131,1.89,120
110,Pittsburgh,ACC,6-Jun,6.07,113.1,91,107,149,65.2,346,-0.064,308,0.39,169,107.9,170,107.5,164,0.39,168
111,Hofstra,CAA,4-Aug,6.02,110.2,127,104.2,101,67.9,242,-0.064,306,4.17,64,110.6,58,106.4,103,4.17,74
112,Miami OH,MAC,Dec-00,5.66,113.5,86,107.8,168,71.7,53,0.069,65,-10.12,363,101.4,364,111.5,353,-10.24,362
113,Florida Atlantic,Amer,4-Aug,5.61,114.4,76,108.8,194,69.2,177,0.005,178,2.89,98,108.4,140,105.6,61,2.89,102
114,UAB,Amer,4-Aug,5.59,112.7,95,107.1,152,70.3,115,-0.016,221,-3.21,277,106.8,238,110,305,-3.21,273
115,Sam Houston St.,CUSA,3-Jul,5.42,112.3,101,106.9,147,72,43,0.046,99,5.95,41,112.2,30,106.3,96,5.95,47
116,Florida St.,ACC,6-Jun,5.41,110.4,123,105,111,75.4,6,-0.068,311,-0.01,175,107.3,206,107.3,149,-0.01,172
117,St. Bonaventure,A10,2-Nov,5.36,111.5,111,106.1,132,68.3,217,0.068,70,-3.1,275,106.2,263,109.3,268,-3.1,271
118,UNC Wilmington,CAA,2-Oct,5.2,112.9,94,107.7,164,65.3,344,0.008,170,-8.7,358,101.5,362,110.2,309,-8.7,357
119,Bradley,MVC,4-Aug,5.06,108.5,149,103.5,86,68.7,200,-0.036,251,-3.54,286,106.3,257,109.9,297,-4.18,299
120,DePaul,BE,4-Aug,4.83,107.4,173,102.6,77,68.7,202,0.032,126,-7.69,349,104,333,111.7,357,-10.48,363
,,,,,,,,,,,,,Strength of Schedule,,,,,,NCSOS,
Rk,Team,Conf,W-L,NetRtg,ORtg,,DRtg,,AdjT,,Luck,,NetRtg,,ORtg,,DRtg,,NetRtg,
121,Davidson,A10,3-Aug,4.41,110.4,126,106,130,65.9,327,0.071,63,-2.91,269,106.1,272,109,254,-2.91,266
122,William & Mary,CAA,3-Sep,4.22,109.9,132,105.7,123,75.6,4,0.115,19,3.34,84,108.3,151,104.9,41,3.34,93
123,Winthrop,BSth,6-Jul,4.13,116.4,61,112.2,280,69.4,165,-0.194,363,-1.58,229,106.7,241,108.3,206,-1.58,227
124,Columbia,Ivy,2-Sep,4.12,109.9,131,105.8,125,68.5,207,0.072,61,-7.43,346,104,335,111.4,352,-7.43,346
125,Southern Illinois,MVC,6-Jun,4,108.7,147,104.7,106,71.3,63,-0.127,354,1.9,123,108.5,132,106.6,115,1.66,128
